1,Step Up Challenge,Increase your step count over the course of a week,"Step Up Challenge is a health event designed to motivate participants to increase their daily step count and improve physical fitness. Participants are encouraged to take more steps each day, with the goal of reaching a set target by the end of the challenge. The event promotes healthy habits through friendly competition, with users tracking their progress, competing against friends, and earning rewards for hitting milestones. Suitable for all fitness levels, the Step Up Challenge fosters an active lifestyle while offering fun and engaging ways to improve health and well-being.",Tampines,2024-04-07 00:00:00,2024-04-14 00:00:00,HPB,Challenge,2024-03-07 00:00:00,10,7,Physical,All Healthy 365 User,Null,50,Null,1,91234567,organiser@hpb.com
2,Hydration Challenge,Drink at least 8 cups of water every day for a month,"Hydration Challenge is a health event aimed at encouraging participants to maintain proper hydration by drinking a recommended amount of water daily. The challenge motivates users to track their water intake, set daily goals, and develop consistent hydration habits. Participants can monitor their progress, receive reminders, and earn rewards for hitting hydration targets over a specified period. Designed for people of all ages and fitness levels, the Hydration Challenge promotes overall well-being by highlighting the importance of staying hydrated for energy, focus, and physical health.",Pasir Ris,2024-01-14 00:00:00,2024-01-21 00:00:00,HPB,Challenge,2024-01-01 00:00:00,10,4,Physical,Tier 3 User,K42019,50,Null,1,91234568,organiser@hpb.com
3,Mindfulness Week,Meditate for the course of one week with our instructors,"Mindfulness Week is a wellness event focused on helping participants develop mindfulness practices to reduce stress and improve mental clarity. Throughout the week, participants are guided through daily activities such as meditation, deep breathing exercises, mindful eating, and journaling. The event encourages users to dedicate time to self-reflection and mental well-being, with tips and reminders to stay present and mindful in everyday situations. By the end of Mindfulness Week, participants will have cultivated a greater sense of inner calm, balance, and mental resilience, contributing to both their mental and emotional health.",Bendemeer,2024-09-01 12:00:00,2024-09-01 14:00:00,HPB,Event,2024-08-01 12:00:00,10,6,Online,Tier 3 User,K42020,50,Active Family Program,2,91234569,organiser@hpb.com
4,"10,000 Steps Challenge","Walk 10,000 steps every day for a week or month.","Join us for a transformative month of wellness challenges! From daily 10,000 steps and yoga to eliminating sugars and meditating, boost your health with varied goals: increase plank time, swap snacks, explore new workouts, and enjoy balanced meals. Ready to thrive?",Ang Mo Kio,2024-04-10 12:00:00,2024-04-10 14:00:00,School,Event,2024-03-10 12:00:00,10,5,Physical,Tier 3 User,K42021,50,Active Family Program,2,91234570,organiser@school.com
5,30-Day Yoga Challenge,Practice yoga for 30 consecutive days.,"Experience a month of mindfulness and flexibility with our 30-day yoga challenge. Commit to practicing yoga daily, building strength and serenity. Perfect for all levels, this journey enhances balance, flexibility, and relaxation. Join us to cultivate a consistent, rejuvenating yoga practice!",Paya Labar,2024-06-17 12:00:00,2024-06-17 14:00:00,School,Event,2024-05-17 12:00:00,10,8,Physical,Tier 3 User,K42022,50,Active Family Program,2,91234571,organiser@school.com
6,Plank Challenge,Increase plank holding time by 10 seconds each day.,"Push your core strength with our daily plank challenge! Increase your plank hold by 10 seconds each day for a month. This progressive challenge builds endurance, stability, and core power. Ideal for all fitness levels, join now to strengthen your core and achieve your fitness goals!",Bencoolen,2024-08-22 17:00:00,2024-08-22 19:00:00,HPB,Event,2024-07-22 17:00:00,10,10,Online,All Healthy 365 User,Null,50,Active Family Program,1,91234572,organiser@hpb.com
7,Squat Challenge,Start with 20 squats and increase the count daily for 30 days.,Take on our 30-day squat challenge! Start with 20 squats and increase daily to build leg strength and endurance. This progressive challenge enhances lower body strength and overall fitness. Join us to elevate your squat game and achieve your fitness goals!,Dhoby Ghaut,2024-10-02 00:00:00,2024-10-09 00:00:00,HPB,Challenge,2024-09-02 00:00:00,10,10,Online,All Healthy 365 User,K42024,50,Null,1,91234573,organiser@hpb.com
8,Push-Up Challenge,Perform an increasing number of push-ups each day for a month.,"Prioritize your health with our 14-day sleep challenge! Aim for 7-8 hours of quality sleep each night to improve overall well-being. This challenge promotes better rest, enhanced mood, and increased energy. Join us to make restful sleep a daily habit!",Orchard,2024-03-12 00:00:00,2024-03-19 00:00:00,HPB,Challenge,2024-02-12 00:00:00,10,7,Physical,All Healthy 365 User,K42025,50,Null,1,91234574,organiser@hpb.com
9,Sleep Hygiene Challenge,Aim for 7-8 hours of quality sleep each night for two weeks.,"Detoxify your diet with our 30-day no sugar challenge. Eliminate added sugars to improve your health, energy levels, and overall well-being. Perfect for anyone looking to cut out sweeteners and embrace a cleaner diet. Join now for a healthier lifestyle!",Bedok,2024-03-11 00:00:00,2024-03-18 00:00:00,HPB,Challenge,2024-02-11 00:00:00,10,3,Physical,All Healthy 365 User,Null,50,Null,1,91234575,organiser@hpb.com
10,No Sugar Challenge,Eliminate added sugars from your diet for 30 days.,"Embrace mindfulness with our meditation challenge! Meditate for 10 minutes daily for a week or a month to enhance mental clarity, reduce stress, and improve focus. Ideal for beginners and experienced practitioners alike. Join us to cultivate a daily meditation practice and find inner peace!",Tuas,2024-08-15 00:00:00,2024-08-22 00:00:00,HPB,Challenge,2024-07-15 00:00:00,10,4,Physical,All Healthy 365 User,K42027,50,Null,1,91234576,organiser@hpb.com
